     -17,      733
       5,      717
     -10,      728
       5,      727
      -4,      713
     -21,      747
      -1,      719
     -10,      713
       0,      733
     -14,      708
       7,      729
     -14,      726
     -12,      720
      15,      713
     -38,      740
      16,      713
     -16,      736
     -25,      725
      12,      720
     -44,      724
       7,      719
     -16,      749
      -9,      696
      11,      758
     -49,      703
      32,      730
     -35,      730
       5,      713
      -2,      728
     -29,      721
      25,      727
     -34,      724
      15,      725
     -16,      721
     -15,      727
      16,      718
     -35,      742
      14,      711
     -21,      742
      -4,      713
       4,      719
     -20,      732
       0,      710
     -22,      738
       4,      717
     -13,      725
     -14,      723
       2,      725
     -24,      733
       9,      719
      -4,      738
     -20,      712
      -1,      742
      -2,      711
      -5,      732
      -3,      730
     -14,      701
      -4,      744
      -4,      708
     -12,      741
      13,      708
     -15,      745
      -2,      703
      -4,      733
      -9,      726
      -5,      722
     -15,      725
       4,      722
     -15,      737
     -14,      701
      -2,      748
     -21,      717
       3,      718
      -1,      747
     -13,      714
       2,      730
       2,      735
       5,      717
      -2,      733
       5,      717
       2,      722
       9,      727
       3,      711
      -7,      741
      20,      728
     -18,      704
      23,      738
       7,      729
      18,      708
       1,      748
      22,      712
       1,      731
      17,      730
      35,      712
      -8,      739
      42,      705
     -10,      747
      42,      714
       1,      719
      33,      741
      24,      721
      16,      723
      29,      741
      22,      720
      14,      731
      22,      739
      35,      717
       0,      737
      40,      727
       3,      731
      25,      727
      34,      726
       8,      731
      35,      717
      18,      725
      12,      724
      41,      723
       4,      727
      30,      720
      37,      722
      -9,      726
      30,      725
       5,      718
      12,      730
      15,      727
      11,      726
      15,      720
       3,      733
      22,      735
      -7,      713
      -3,      735
      26,      721
      -7,      723
       4,      744
       4,      712
      -5,      732
       1,      711
       6,      738
      -7,      708
       2,      729
      -4,      724
       0,      703
      -5,      740
     -12,      716
       1,      731
     -19,      716
      -6,      736
     -29,      713
       1,      751
     -46,      716
      -4,      734
     -28,      735
     -37,      718
     -13,      745
     -50,      720
     -15,      733
     -45,      733
     -19,      724
     -38,      725
     -48,      739
      -2,      718
     -57,      721
     -27,      736
     -39,      716
     -46,      721
     -26,      742
     -60,      705
     -35,      732
     -62,      738
     -52,      716
     -45,      758
     -71,      712
     -53,      752
     -80,      718
     -63,      744
     -55,      742
     -82,      728
     -63,      737
     -78,      734
     -83,      730
     -65,      722
     -76,      744
     -77,      713
     -73,      749
     -79,      698
     -73,      752
     -88,      707
     -60,      710
    -100,      745
     -73,      689
     -80,      738
    -110,      732
     -67,      718
    -120,      735
     -91,      721
    -104,      738
    -110,      724
     -90,      723
    -116,      733
    -104,      704
     -98,      739
    -116,      716
    -109,      713
    -110,      730
    -120,      712
    -120,      735
    -110,      710
    -118,      732
    -131,      726
    -125,      715
    -116,      724
    -113,      712
    -134,      723
    -109,      711
    -136,      716
    -120,      724
    -110,      702
    -149,      743
    -114,      735
    -148,      717
    -122,      762
    -135,      729
    -126,      741
    -120,      745
    -109,      718
    -111,      724
    -106,      741
     -76,      736
     -89,      709
     -47,      718
     -55,      703
     -59,      686
     -14,      708
     -64,      694
     -10,      692
     -46,      717
     -60,      715
     -49,      741
     -80,      745
    -102,      762
    -108,      782
    -106,      771
    -147,      797
    -110,      785
    -131,      779
    -130,      785
     -92,      737
    -110,      745
     -75,      703
     -86,      697
     -79,      686
     -62,      680
     -84,      666
     -72,      655
    -100,      670
    -104,      648
    -122,      703
    -156,      679
    -173,      722
    -232,      745
    -266,      751
    -243,      803
    -339,      805
    -303,      813
    -326,      820
    -351,      808
    -285,      802
    -333,      776
    -243,      746
    -248,      716
    -196,      694
    -186,      676
    -163,      662
    -135,      623
     -96,      627
     -98,      595
    -119,      634
     -90,      652
     -96,      639
    -113,      707
    -146,      693
    -150,      760
    -167,      770
    -161,      786
    -181,      820
    -189,      823
    -160,      816
    -135,      819
    -127,      807
     -84,      781
     -40,      767
     -13,      720
      62,      677
      80,      661
      91,      631
     144,      595
     145,      629
     114,      588
     165,      609
     115,      640
      97,      623
      68,      676
      16,      696
      11,      721
     -68,      767
     -72,      793
    -149,      825
    -176,      836
    -177,      839
    -211,      861
    -216,      826
    -227,      829
    -184,      783
    -166,      733
    -154,      713
    -111,      652
    -135,      643
    -132,      620
    -120,      628
    -125,      618
    -155,      598
    -172,      631
    -204,      640
    -248,      666
    -269,      722
    -285,      714
    -343,      759
    -363,      801
    -401,      807
    -459,      879
    -420,      868
    -453,      867
    -423,      890
    -383,      848
    -395,      864
    -314,      810
    -253,      761
    -187,      700
    -115,      653
     -90,      653
     -38,      613
     -24,      616
       3,      603
      17,      643
       4,      632
      58,      659
     -11,      677
      -5,      708
     -55,      785
     -89,      811
     -34,      805
    -126,      860
    -144,      860
    -119,      848
     -96,      841
     -54,      728
     -49,      731
      -6,      632
      43,      603
     128,      517
     215,      467
     282,      416
     318,      391
     301,      391
     292,      376
     288,      492
     291,      485
     189,      530
      27,      568
     -44,      638
     -99,      770
     -94,      740
    -190,      747
    -251,      714
    -272,      707
    -304,      733
    -226,      678
    -154,      730
     -76,      819
     -98,      874
    -151,      820
    -126,      779
     -96,      701
     -16,      644
     -39,      465
     -78,      286
     -72,      214
    -167,      311
    -252,      461
    -275,      550
    -257,      637
    -247,      565
    -334,      575
    -429,      643
    -396,      775
    -344,      875
    -304,      767
    -282,      665
    -297,      653
    -316,      800
    -339,      951
    -262,      949
    -109,      838
       1,      678
      27,      683
       8,      775
      93,      947
     234,      934
     372,      816
     401,      715
     357,      766
     266,      841
     133,      850
      35,      929
      20,     1036
       0,     1181
     -54,     1202
     -28,     1181
     -98,     1153
     -98,     1040
    -151,      748
    -133,      478
     -65,      334
     -45,      279
     -40,      259
     -19,      250
      15,      346
     -32,      404
    -103,      371
    -269,      364
    -360,      403
    -403,      424
    -372,      226
    -237,      146
    -161,      275
    -193,      585
    -348,      820
    -408,      740
    -232,      565
    -152,      491
    -211,      678
    -303,      933
    -426,     1121
    -429,     1033
    -401,      798
    -266,      766
    -125,      862
    -126,     1010
    -218,     1006
    -246,      843
    -129,      785
     -88,      852
    -191,     1099
    -382,     1379
    -482,     1416
    -489,     1183
    -587,      856
    -582,      671
    -522,      652
    -526,      550
    -678,      473
    -913,      620
    -832,      955
    -574,     1232
    -309,     1249
     -78,     1253
     -44,     1287
     -42,     1172
    -142,      892
    -142,      656
      -7,      818
      23,     1102
    -306,     1211
    -814,     1137
   -1024,     1213
    -917,     1500
    -812,     1775
    -956,     2026
   -1042,     2093
    -838,     2214
    -473,     2231
     -87,     2275
      53,     2503
      45,     2693
     -98,     2570
     -96,     2029
     401,     1450
    1013,     1335
    1246,     1493
     923,     1441
     569,      952
     606,      272
     733,       98
     643,      301
     301,      727
     -19,      916
    -153,      914
     -51,      793
     313,      376
     847,     -144
    1300,     -694
    1530,    -1051
    1823,    -1459
    2306,    -2229
    2683,    -3113
    2505,    -3622
    1714,    -3668
     576,    -3794
    -556,    -3974
   -1635,    -4007
   -2257,    -3643
   -2041,    -3095
   -1075,    -2598
     197,    -1722
    1171,     -653
    1929,      -57
    2449,     -561
    2642,    -1566
    2375,    -2185
    1735,    -2523
     841,    -3151
    -255,    -4160
   -1343,    -4879
   -2060,    -4930
   -2163,    -4836
   -1938,    -4908
   -1605,    -4739
   -1091,    -3924
    -444,    -2679
     143,    -1484
     182,     -366
    -359,      610
   -1576,     1194
   -3203,     1224
   -4562,      889
   -5222,      616
   -5061,      431
   -4525,      139
   -3837,      -69
   -3016,      266
   -2303,     1150
   -1635,     1961
    -755,     2242
     467,     2218
    1364,     2273
    1512,     2756
    1312,     3171
    1260,     3310
    1260,     3442
     971,     3717
     792,     4251
    1021,     4470
    1135,     4297
     720,     4161
     216,     4283
      27,     4482
    -466,     4388
   -1717,     4241
   -2739,     4395
   -2576,     4632
   -1656,     4541
    -958,     4194
    -262,     4086
    1053,     4230
    2350,     4281
    2926,     4179
    2985,     4265
    3176,     4694
    3106,     4908
    2046,     4914
     708,     5188
     -57,     5808
    -476,     6358
   -1219,     6415
   -1970,     6427
   -1810,     6908
    -930,     7459
     -40,     7582
     607,     7389
    1422,     7116
    2167,     6732
    2246,     5789
    2079,     4398
    2066,     3182
    2219,     2159
    1953,     1058
    1044,      -90
      46,     -632
    -780,     -115
    -930,      917
    -236,     1835
    1233,     2200
    2808,     2033
    3725,     1497
    4055,      639
    4024,     -115
    3918,     -896
    3700,    -1923
    3120,    -3141
    2063,    -4166
     534,    -4581
    -864,    -4830
   -1611,    -5000
   -1488,    -5161
    -793,    -4984
      51,    -4454
     965,    -3826
    1728,    -3185
    2283,    -2600
    2593,    -2415
    2677,    -2787
    2426,    -3594
    1591,    -4899
     367,    -6579
    -934,    -8473
   -1639,   -10098
   -1625,   -11145
   -1138,   -11824
